time, px, py, pz, qx, qy, qz, qw
1.24014, -0.0213454, 0.0222811, 1.69432, -0.0081922, 0.00289291, -0.77495, 0.631963
1.25974, -0.0216794, 0.0223604, 1.69373, -0.00745879, 0.00296128, -0.776473, 0.630099
1.27999, -0.0215798, 0.0218419, 1.69374, -0.00725225, 0.00236394, -0.776183, 0.630461
1.30006, -0.021566, 0.0210117, 1.69387, -0.00777208, 0.000511464, -0.774746, 0.632224
1.31985, -0.0220813, 0.0210096, 1.69356, -0.00856415, 0.00191294, -0.774417, 0.632615
1.34011, -0.0223275, 0.0211516, 1.69313, -0.00701784, 0.000935844, -0.776007, 0.630684
1.36017, -0.0222625, 0.0199689, 1.69383, -0.00879222, -0.000979272, -0.774146, 0.632945
1.38047, -0.0228574, 0.0199805, 1.69384, -0.009424, 0.000316786, -0.774135, 0.632951
1.39991, -0.0233076, 0.0203083, 1.69336, -0.00835664, 9.36223e-05, -0.775541, 0.631242
1.42031, -0.0231165, 0.0201681, 1.69318, -0.0067969, -0.000357182, -0.775246, 0.631622
1.43976, -0.0233311, 0.0192753, 1.69388, -0.00871777, -0.00138724, -0.773558, 0.633664
1.45948, -0.0240627, 0.019296, 1.69385, -0.00986695, 0.00021069, -0.773253, 0.63402
1.48042, -0.0246019, 0.0195737, 1.69359, -0.00903221, 0.000841533, -0.774883, 0.63204
1.5002, -0.024659, 0.0196263, 1.69364, -0.0073508, 0.0011653, -0.774638, 0.632361
1.52026, -0.0249654, 0.0192683, 1.69414, -0.00887258, 0.00235886, -0.773024, 0.634311
1.54004, -0.0258481, 0.0197495, 1.694, -0.00889259, 0.00354675, -0.774665, 0.6323
1.56036, -0.025912, 0.0196261, 1.69401, -0.00825038, 0.00197163, -0.774397, 0.632643
1.58039, -0.025948, 0.0189227, 1.69492, -0.00995661, 0.00136654, -0.772513, 0.634919
1.59988, -0.026501, 0.0191428, 1.69502, -0.00977264, 0.00213005, -0.772437, 0.635012
1.62018, -0.0270192, 0.0198564, 1.69461, -0.00840901, 0.00207627, -0.774127, 0.632971
1.63978, -0.0271284, 0.0199187, 1.69492, -0.00777529, 0.00192087, -0.774069, 0.63305
1.6597, -0.0272226, 0.0193086, 1.69556, -0.0090098, 0.000984047, -0.772156, 0.635368
1.68046, -0.027803, 0.0195177, 1.6954, -0.00945969, 0.00140913, -0.771752, 0.635852
1.7004, -0.0283226, 0.0202053, 1.69507, -0.00798327, 0.0023461, -0.773514, 0.633725
1.72028, -0.0282796, 0.0199484, 1.69524, -0.00791044, 0.00268907, -0.771547, 0.636117
1.73988, -0.028557, 0.0199606, 1.69528, -0.00801158, 0.00272308, -0.771495, 0.636179
1.7604, -0.0290436, 0.0204088, 1.69484, -0.00759768, 0.0040555, -0.771173, 0.636567
1.78045, -0.0293985, 0.0208934, 1.69456, -0.00630024, 0.00419628, -0.772901, 0.634481
1.7998, -0.0294979, 0.0203864, 1.69507, -0.00814049, 0.00461025, -0.770879, 0.636913
1.82022, -0.0299937, 0.0205841, 1.69503, -0.00840431, 0.00462808, -0.770873, 0.636916
1.83987, -0.0303479, 0.0209205, 1.69481, -0.00877362, 0.00559176, -0.770583, 0.637255
1.8601, -0.0302967, 0.0210446, 1.69492, -0.00777622, 0.00587513, -0.770497, 0.637369
1.88027, -0.0303915, 0.0210204, 1.69512, -0.00688286, 0.00477531, -0.770473, 0.637418
1.8995, -0.0311024, 0.0212808, 1.69522, -0.0086567, 0.0061866, -0.770378, 0.637499
1.91968, -0.0315839, 0.0217028, 1.69515, -0.00803434, 0.00576837, -0.7723, 0.635181
1.94004, -0.0312467, 0.021289, 1.69548, -0.00804189, 0.00441456, -0.770384, 0.637515
1.96037, -0.0314253, 0.0214151, 1.6956, -0.00813408, 0.0042104, -0.77055, 0.637314
1.97983, -0.0318736, 0.0216759, 1.6953, -0.00819853, 0.00481488, -0.770396, 0.637495
2.00039, -0.032105, 0.0218618, 1.69532, -0.00815181, 0.00391281, -0.772078, 0.635464
2.02019, -0.0321576, 0.0219402, 1.6953, -0.00775086, 0.00355945, -0.772239, 0.635274
2.03995, -0.0321912, 0.0218594, 1.69513, -0.00785667, 0.00397773, -0.770813, 0.637
2.06032, -0.0323497, 0.0220511, 1.6947, -0.00778212, 0.00437538, -0.770549, 0.637318
2.08016, -0.0326452, 0.022195, 1.69457, -0.00788854, 0.00440449, -0.772323, 0.635166
2.10042, -0.0324688, 0.0217601, 1.69455, -0.00799659, 0.00381588, -0.770559, 0.637307
2.12015, -0.0328495, 0.0222511, 1.69403, -0.00772577, 0.00605194, -0.770634, 0.637202
2.13983, -0.0329809, 0.0225178, 1.69341, -0.00772098, 0.00777716, -0.770453, 0.637403
2.16044, -0.0325754, 0.0222132, 1.69332, -0.00657906, 0.00536733, -0.770456, 0.637437
2.18045, -0.0328818, 0.0222745, 1.69341, -0.00753638, 0.00610513, -0.770754, 0.637059
2.20045, -0.0331781, 0.0222519, 1.6932, -0.00892822, 0.00651587, -0.770535, 0.637301
2.21948, -0.033386, 0.0228929, 1.69279, -0.00807028, 0.00761889, -0.772508, 0.634908
2.24008, -0.0328308, 0.0223478, 1.69307, -0.00842495, 0.00627973, -0.770898, 0.636872
2.26021, -0.0329897, 0.0226266, 1.69289, -0.00788205, 0.00668044, -0.771389, 0.636281
2.28046, -0.0333726, 0.0230529, 1.69255, -0.00865607, 0.00790059, -0.773133, 0.634136
2.30023, -0.0330271, 0.0228655, 1.6925, -0.00811893, 0.00665876, -0.773308, 0.633943
2.32021, -0.0325454, 0.022166, 1.69282, -0.00828776, 0.00509483, -0.771635, 0.635991
2.34008, -0.0328805, 0.0225177, 1.6924, -0.00909637, 0.00779629, -0.771663, 0.635919
2.35971, -0.0329044, 0.0229929, 1.69179, -0.00757127, 0.00803957, -0.773529, 0.633665
