time, px, py, pz, qx, qy, qz, qw
1.26011, 0.00742829, 0.0785771, 1.58735, 0.00619188, 0.00141176, -0.765491, 0.643415
1.28015, 0.00657933, 0.0779782, 1.58766, 0.00633345, 0.00431904, -0.766946, 0.641665
1.29997, 0.00698916, 0.0773473, 1.58813, 0.00603663, 0.00321657, -0.767696, 0.640777
1.32017, 0.00801668, 0.0760832, 1.58789, 0.00733608, 0.00281622, -0.764663, 0.644383
1.33948, 0.00725576, 0.0751527, 1.58818, 0.00653217, 0.00395545, -0.765754, 0.643089
1.36016, 0.00699508, 0.0744903, 1.58836, 0.00698088, 0.00461921, -0.767035, 0.641551
1.37982, 0.00784225, 0.0739111, 1.58841, 0.00747827, 0.00426336, -0.766361, 0.642352
1.39991, 0.00827337, 0.0724559, 1.58864, 0.00622161, 0.00404021, -0.764854, 0.64416
1.41942, 0.00749052, 0.0716091, 1.58867, 0.00679341, 0.00520228, -0.765994, 0.64279
1.4393, 0.00695168, 0.0711152, 1.58844, 0.00744537, 0.00754908, -0.767312, 0.641187
1.4602, 0.00822629, 0.0694884, 1.58918, 0.00433884, 0.00335238, -0.765516, 0.643394
1.47997, 0.00856268, 0.0685538, 1.58851, 0.00691808, 0.00409002, -0.764865, 0.644141
1.49964, 0.00748045, 0.0679986, 1.58814, 0.00764242, 0.00605973, -0.76721, 0.641322
1.52018, 0.00759953, 0.0674004, 1.58768, 0.00866607, 0.00600384, -0.767272, 0.641235
1.53941, 0.00875276, 0.0660503, 1.58769, 0.007588, 0.00450684, -0.765169, 0.643769
1.56, 0.00798726, 0.0648176, 1.58767, 0.00540043, 0.00623941, -0.766104, 0.642663
1.5799, 0.00787533, 0.0641887, 1.58716, 0.00727028, 0.00610894, -0.767257, 0.64127
1.60024, 0.00878078, 0.0633677, 1.58679, 0.00708315, 0.00575169, -0.766379, 0.642324
1.61949, 0.00930548, 0.0619648, 1.5863, 0.00676745, 0.00527246, -0.76501, 0.643961
1.63942, 0.00841974, 0.0608286, 1.58604, 0.00711271, 0.00440837, -0.767213, 0.641337
1.66016, 0.00838702, 0.0600656, 1.58568, 0.00659998, 0.0059265, -0.767199, 0.641348
1.68009, 0.00956481, 0.0593067, 1.5851, 0.00658688, 0.0044179, -0.766286, 0.64245
1.69962, 0.00987172, 0.0575913, 1.58496, 0.00490097, 0.00329977, -0.765192, 0.643775
1.71952, 0.00885041, 0.0566463, 1.58454, 0.0049503, 0.00478017, -0.767122, 0.641464
1.73936, 0.00911252, 0.0559676, 1.58348, 0.00723825, 0.00437642, -0.767262, 0.641278
1.75975, 0.0102213, 0.055046, 1.583, 0.00703323, 0.00348772, -0.766288, 0.642449
1.77997, 0.0102981, 0.0535591, 1.58274, 0.00681031, 0.00284703, -0.765932, 0.642879
1.79993, 0.00956666, 0.0524262, 1.58243, 0.00629233, 0.00343068, -0.767168, 0.641407
1.81953, 0.0103206, 0.0517924, 1.58202, 0.00557958, 0.00396309, -0.766419, 0.642305
1.83948, 0.0112072, 0.0503474, 1.58141, 0.00624798, 0.0014589, -0.764902, 0.644115
1.86011, 0.0101273, 0.0493915, 1.58097, 0.00613858, 0.0027076, -0.767095, 0.641498
1.88008, 0.0102943, 0.0482642, 1.58058, 0.00657503, 0.00194715, -0.76705, 0.641551
1.89961, 0.0113663, 0.0475171, 1.58, 0.00674018, 0.0013479, -0.766113, 0.642669
1.91998, 0.0120791, 0.0460989, 1.57957, 0.00741346, 0.000634942, -0.764647, 0.644407
1.93927, 0.0108231, 0.0453035, 1.57934, 0.00665562, 0.00250476, -0.766824, 0.641818
1.96014, 0.0107484, 0.0444054, 1.57885, 0.00638901, 0.00248289, -0.76713, 0.641455
1.97986, 0.0119366, 0.0434097, 1.57849, 0.00617993, 0.000322822, -0.76611, 0.64268
1.99991, 0.0128215, 0.0420148, 1.57824, 0.00702223, -0.000965365, -0.764727, 0.644315
2.01947, 0.0114942, 0.041433, 1.57764, 0.00740522, 0.00190372, -0.76685, 0.64178
2.03934, 0.01224, 0.04043, 1.57733, 0.00651357, 0.000388615, -0.765905, 0.64292
2.06014, 0.0126528, 0.0392482, 1.57695, 0.00628411, 0.00129376, -0.76428, 0.644853
2.08015, 0.0123025, 0.0382359, 1.57667, 0.00766394, 0.00026531, -0.765516, 0.643371
2.10014, 0.0116045, 0.0376155, 1.57627, 0.00630637, 0.00226665, -0.766622, 0.642064
2.12003, 0.0124728, 0.0368027, 1.57603, 0.00546546, 0.00130326, -0.765852, 0.642993
2.13926, 0.0134003, 0.0355912, 1.5754, 0.0083281, -0.00118615, -0.764651, 0.64439
2.15961, 0.0122357, 0.0346757, 1.57513, 0.00748501, 0.00117002, -0.766377, 0.642346
