time, px, py, pz, qx, qy, qz, qw
0, 0.00846691, 0.123204, 1.53052, 0.016114, -0.0290866, -0.792385, 0.609114
0.0198052, 0.00832993, 0.123474, 1.53111, 0.0148332, -0.0298644, -0.792664, 0.608746
0.0406649, 0.00948457, 0.123167, 1.53176, 0.0165618, -0.0337158, -0.79121, 0.610389
0.0607893, 0.00840718, 0.124758, 1.53207, 0.01587, -0.029908, -0.792755, 0.608599
0.0801864, 0.00837631, 0.125722, 1.53229, 0.016695, -0.029976, -0.791994, 0.609564
0.100212, 0.0083335, 0.125851, 1.53281, 0.0160416, -0.0309997, -0.792302, 0.60913
0.120728, 0.00873321, 0.125802, 1.53366, 0.0155826, -0.0311719, -0.791072, 0.61073
0.140611, 0.00816168, 0.127591, 1.53376, 0.0167636, -0.0281416, -0.792188, 0.609398
0.16006, 0.0080078, 0.128435, 1.53367, 0.0176956, -0.027714, -0.792216, 0.609354
0.180862, 0.00867454, 0.127394, 1.53482, 0.0157626, -0.0318936, -0.790915, 0.61089
0.200234, 0.00820147, 0.128224, 1.53549, 0.0162548, -0.0313213, -0.792267, 0.609153
0.220748, 0.00777702, 0.129548, 1.53591, 0.0147931, -0.0280488, -0.791134, 0.61082
0.240739, 0.00706378, 0.129749, 1.53612, 0.0140783, -0.028393, -0.792359, 0.609231
0.260695, 0.00809876, 0.129509, 1.53707, 0.0151917, -0.0304515, -0.790892, 0.611008
0.280814, 0.00702404, 0.130414, 1.5382, 0.0115837, -0.0278071, -0.79267, 0.608906
0.300136, 0.00713827, 0.131232, 1.53786, 0.013402, -0.0277451, -0.791353, 0.610582
0.321105, 0.00700142, 0.131224, 1.53832, 0.0134967, -0.02899, -0.792654, 0.608832
0.340793, 0.00697849, 0.131036, 1.5397, 0.0112316, -0.0281737, -0.792536, 0.60907
0.360044, 0.00668285, 0.132685, 1.53928, 0.0135586, -0.0255438, -0.792267, 0.609489
0.380039, 0.00666902, 0.133325, 1.53865, 0.015483, -0.0251387, -0.792042, 0.609752
0.400251, 0.00753841, 0.131533, 1.54063, 0.0117443, -0.0316658, -0.791378, 0.610393
0.420391, 0.00742547, 0.132711, 1.54053, 0.0145866, -0.0291414, -0.792479, 0.609028
0.440733, 0.00698105, 0.133832, 1.54023, 0.0133347, -0.0259964, -0.791336, 0.610682
0.46069, 0.00672937, 0.133559, 1.54047, 0.0117789, -0.0279125, -0.792571, 0.609026
0.480313, 0.00765314, 0.132716, 1.54176, 0.0121512, -0.0324869, -0.792478, 0.608913
0.500116, 0.00671069, 0.13414, 1.54139, 0.0117667, -0.0265209, -0.793854, 0.607416
0.520514, 0.00732308, 0.134601, 1.54074, 0.0138944, -0.0272757, -0.791193, 0.6108
0.540515, 0.00806998, 0.133403, 1.54179, 0.0123829, -0.0317439, -0.790984, 0.610888
0.560538, 0.00812029, 0.134027, 1.54203, 0.012497, -0.0289855, -0.792047, 0.609644
0.580185, 0.00800412, 0.134969, 1.54162, 0.0136201, -0.0280854, -0.791216, 0.610739
0.599955, 0.0075675, 0.135261, 1.5416, 0.0123794, -0.027402, -0.792365, 0.609306
0.620787, 0.00881115, 0.133796, 1.54298, 0.0104557, -0.0323982, -0.791277, 0.610509
0.64003, 0.00837415, 0.134907, 1.54266, 0.0119232, -0.0293534, -0.792585, 0.608938
0.660811, 0.00842254, 0.135522, 1.54222, 0.0120182, -0.0268552, -0.791094, 0.610986
0.681044, 0.00830463, 0.13484, 1.54303, 0.00977889, -0.0305198, -0.792425, 0.609127
0.70048, 0.00982248, 0.134457, 1.54329, 0.0119028, -0.0319179, -0.790741, 0.611202
0.720842, 0.00919275, 0.135929, 1.54276, 0.0124583, -0.0272336, -0.792158, 0.609581
0.741054, 0.00936693, 0.136192, 1.5424, 0.0136562, -0.0285175, -0.791993, 0.609711
0.761109, 0.00957001, 0.135431, 1.54358, 0.00957645, -0.0291707, -0.792236, 0.609441
0.78031, 0.00998028, 0.135039, 1.54425, 0.00868748, -0.0311097, -0.792459, 0.609069
0.800462, 0.010341, 0.136374, 1.5431, 0.0132475, -0.0284673, -0.791899, 0.609844
0.821033, 0.0104915, 0.136366, 1.54337, 0.0121466, -0.0294985, -0.792089, 0.609572
0.840253, 0.0115822, 0.135278, 1.54398, 0.0112595, -0.0324098, -0.790559, 0.611424
0.860841, 0.0112943, 0.135745, 1.5443, 0.0105248, -0.0312173, -0.791874, 0.609796
