time, px, py, pz, qx, qy, qz, qw
0, -0.0227604, 0.0384437, 1.46879, -0.0137548, -0.0179636, -0.732225, 0.680687
0.0199184, -0.0221121, 0.0378955, 1.46902, -0.014558, -0.0181695, -0.730943, 0.682041
0.0403547, -0.0220636, 0.0380382, 1.46859, -0.0110314, -0.0188349, -0.733345, 0.679507
0.0611002, -0.0225823, 0.0380412, 1.46899, -0.0150665, -0.0168493, -0.733565, 0.679243
0.080112, -0.0217185, 0.03792, 1.46859, -0.0135198, -0.0180172, -0.731809, 0.681137
0.100716, -0.0219159, 0.0378973, 1.46822, -0.012771, -0.0171927, -0.733708, 0.679128
0.120298, -0.0211044, 0.0375188, 1.46855, -0.0132819, -0.0179064, -0.73212, 0.680811
0.140727, -0.0216148, 0.0378184, 1.46801, -0.0125967, -0.0176521, -0.733232, 0.679632
0.161092, -0.0209119, 0.0375405, 1.46782, -0.0140432, -0.0162443, -0.731199, 0.681826
0.180367, -0.0211152, 0.03761, 1.46733, -0.011418, -0.0165606, -0.733031, 0.679897
0.20081, -0.0206987, 0.0373899, 1.46746, -0.0122465, -0.0182017, -0.731931, 0.681025
0.22007, -0.0207595, 0.0373912, 1.46716, -0.0136769, -0.0177606, -0.731267, 0.681722
0.240824, -0.0199095, 0.0369289, 1.46692, -0.0127026, -0.019067, -0.729709, 0.683374
0.261029, -0.0208713, 0.0373138, 1.46677, -0.0128446, -0.0167912, -0.732808, 0.680107
0.280125, -0.0208434, 0.0371888, 1.46678, -0.0137073, -0.0184556, -0.7323, 0.680594
0.300735, -0.0203962, 0.0370422, 1.46664, -0.0139248, -0.0186113, -0.730403, 0.682621
0.320308, -0.0208939, 0.0371126, 1.46647, -0.0129756, -0.0179003, -0.731972, 0.680976
0.340336, -0.0202656, 0.0368319, 1.46673, -0.0129041, -0.0196487, -0.730423, 0.682591
0.360994, -0.0211751, 0.0370438, 1.46691, -0.0149497, -0.0186465, -0.731623, 0.681291
0.380062, -0.0203741, 0.0368737, 1.4669, -0.0146567, -0.0191395, -0.729547, 0.683506
0.400524, -0.0209401, 0.0371253, 1.46668, -0.0128305, -0.0179907, -0.731435, 0.681553
0.420276, -0.0210028, 0.0368879, 1.46744, -0.0151902, -0.0189043, -0.730372, 0.682619
0.440727, -0.0214042, 0.0371527, 1.46732, -0.0142522, -0.0196519, -0.731068, 0.681872
0.460974, -0.0205571, 0.0368086, 1.46751, -0.0153196, -0.0188269, -0.72809, 0.685052
0.480967, -0.0211541, 0.0370455, 1.46787, -0.0150486, -0.0181333, -0.729721, 0.683339
0.500262, -0.0219481, 0.0373568, 1.46809, -0.0162624, -0.0178817, -0.731149, 0.681789
0.519856, -0.0216645, 0.0373028, 1.46801, -0.0161941, -0.0181355, -0.729151, 0.683921
0.540482, -0.0223227, 0.0376038, 1.46778, -0.0143146, -0.0164133, -0.730869, 0.682171
0.559823, -0.0220693, 0.0374538, 1.46837, -0.0156152, -0.0169054, -0.729591, 0.683497
0.580037, -0.0228418, 0.0380398, 1.46804, -0.0151221, -0.016364, -0.730554, 0.682492
0.599797, -0.0224141, 0.037797, 1.4682, -0.0167717, -0.0172249, -0.728912, 0.684185
0.620059, -0.0230937, 0.038231, 1.46774, -0.0135817, -0.0160827, -0.730909, 0.682151
0.640674, -0.0231014, 0.0380672, 1.46809, -0.0153269, -0.0164681, -0.729666, 0.683433
0.660651, -0.0237671, 0.0384916, 1.46762, -0.0152588, -0.0160885, -0.730345, 0.682719
0.680809, -0.0229163, 0.0383104, 1.46731, -0.0146571, -0.0166812, -0.727364, 0.685893
0.700139, -0.0234862, 0.0384714, 1.46726, -0.0145013, -0.0166482, -0.728821, 0.684348
0.720282, -0.0242484, 0.0389352, 1.46699, -0.0147657, -0.0165446, -0.729809, 0.683291
0.740736, -0.0240403, 0.0389841, 1.46655, -0.0146896, -0.0177491, -0.728057, 0.68513
0.760744, -0.0233601, 0.038697, 1.46649, -0.0147056, -0.01855, -0.726354, 0.686913
0.781025, -0.024422, 0.0391652, 1.46619, -0.0143694, -0.0177417, -0.728685, 0.684469
0.800479, -0.0252514, 0.0398173, 1.46567, -0.0144502, -0.0164835, -0.729441, 0.683693
0.820251, -0.0249544, 0.0395813, 1.46568, -0.0160096, -0.017268, -0.72771, 0.685481
0.840817, -0.025615, 0.0399701, 1.46502, -0.0132159, -0.0168169, -0.72966, 0.683476
0.860441, -0.0259215, 0.0399807, 1.46545, -0.0156649, -0.0160112, -0.728698, 0.684469
0.880927, -0.0264531, 0.0403341, 1.46501, -0.0146985, -0.0166688, -0.729549, 0.683568
0.900568, -0.0257433, 0.040049, 1.4648, -0.0156303, -0.017117, -0.726807, 0.686451
0.920359, -0.0264478, 0.0403674, 1.46468, -0.0151333, -0.0159467, -0.728504, 0.684689
0.94063, -0.0272794, 0.0408183, 1.46437, -0.0151213, -0.0150305, -0.729525, 0.683622
0.960754, -0.0271313, 0.0408907, 1.46381, -0.0152989, -0.0146218, -0.727749, 0.685517
0.980726, -0.0267118, 0.0408169, 1.46333, -0.013817, -0.0152255, -0.726467, 0.686893
1.00071, -0.0275265, 0.0410681, 1.46321, -0.0135434, -0.0158721, -0.728255, 0.684988
1.02029, -0.0285386, 0.0414991, 1.46269, -0.0141809, -0.015154, -0.729485, 0.683681
1.0408, -0.0279821, 0.0413681, 1.46206, -0.0132668, -0.0159851, -0.727229, 0.68608
1.06088, -0.0290153, 0.0416694, 1.46161, -0.0131701, -0.0140909, -0.729532, 0.683675
1.08105, -0.0289819, 0.0415778, 1.46145, -0.0135349, -0.0158731, -0.728369, 0.684868
1.1007, -0.0292553, 0.0418048, 1.46089, -0.0138134, -0.0157275, -0.727603, 0.685678
1.12003, -0.0290358, 0.0415541, 1.46055, -0.0141416, -0.0161961, -0.726103, 0.687249
1.14108, -0.0295959, 0.0417325, 1.46029, -0.0129996, -0.0167669, -0.727693, 0.685575
1.16089, -0.0308577, 0.0420072, 1.46033, -0.0159733, -0.0153599, -0.728987, 0.684168
1.18081, -0.0306664, 0.0420607, 1.45969, -0.0150056, -0.0155313, -0.727259, 0.686023
1.2008, -0.0315209, 0.0422831, 1.45927, -0.0146055, -0.0139389, -0.729225, 0.683976
1.22033, -0.031505, 0.0420887, 1.45949, -0.0155286, -0.0149637, -0.728224, 0.685
1.24078, -0.0323133, 0.042311, 1.45904, -0.0151432, -0.0156577, -0.729214, 0.683938
1.26012, -0.0318789, 0.0420557, 1.45878, -0.0157393, -0.0144276, -0.726473, 0.686863
1.28019, -0.0328884, 0.0425095, 1.45818, -0.0136057, -0.0129509, -0.729316, 0.683919
1.30002, -0.0332135, 0.0423695, 1.45831, -0.0156597, -0.0138238, -0.729174, 0.684009
1.32007, -0.0332691, 0.0424879, 1.45746, -0.0146517, -0.0134017, -0.727814, 0.685487
1.34039, -0.0329588, 0.0421249, 1.4568, -0.014349, -0.013572, -0.726294, 0.6871
1.36104, -0.0337759, 0.0423074, 1.45615, -0.01429, -0.01233, -0.728073, 0.685239
1.38082, -0.0347033, 0.0423925, 1.45548, -0.0148611, -0.0132249, -0.729302, 0.683902
1.4006, -0.0343729, 0.0422337, 1.45446, -0.0143246, -0.0141027, -0.727421, 0.685896
1.42034, -0.0352948, 0.0424056, 1.45331, -0.013211, -0.0124609, -0.729268, 0.683988
1.44099, -0.0350678, 0.0420099, 1.45286, -0.01337, -0.014663, -0.72803, 0.685258
1.46039, -0.0360978, 0.0420689, 1.45203, -0.0154847, -0.0134377, -0.729088, 0.684113
1.48112, -0.0352345, 0.0417, 1.45092, -0.0142403, -0.0145792, -0.726444, 0.686923
1.50082, -0.0359499, 0.0415957, 1.45026, -0.0144865, -0.0136826, -0.727761, 0.685541
1.52033, -0.0368169, 0.0414313, 1.44978, -0.0164459, -0.0142012, -0.729095, 0.684068
1.54112, -0.0364627, 0.0412807, 1.44869, -0.0151875, -0.014966, -0.727371, 0.685913
1.5609, -0.0370355, 0.0410059, 1.44808, -0.0164127, -0.0136969, -0.727932, 0.685316
1.58079, -0.0369687, 0.0407246, 1.44732, -0.0149976, -0.0148326, -0.727891, 0.685369
1.60003, -0.0379215, 0.0407086, 1.44675, -0.0170484, -0.0141161, -0.729347, 0.683785
1.62019, -0.0380576, 0.0405779, 1.44571, -0.0156841, -0.0145492, -0.729235, 0.683929
1.641, -0.0379001, 0.0401096, 1.44499, -0.0156805, -0.0139318, -0.728084, 0.685167
1.66094, -0.038344, 0.0398465, 1.44438, -0.016195, -0.0134799, -0.728465, 0.684759
1.68037, -0.0388753, 0.0398694, 1.44342, -0.0152786, -0.0142225, -0.729389, 0.683781
1.70094, -0.0385026, 0.039301, 1.44263, -0.0166811, -0.0143534, -0.727066, 0.686215
1.72032, -0.0388555, 0.0390802, 1.44156, -0.0147251, -0.01446, -0.728501, 0.684734
1.74002, -0.0395231, 0.0388874, 1.44092, -0.0152934, -0.0136861, -0.72881, 0.684408
1.76031, -0.0400213, 0.0387614, 1.43992, -0.0154966, -0.0133007, -0.72961, 0.683558
1.78109, -0.0391307, 0.038102, 1.43887, -0.0147743, -0.0148098, -0.726872, 0.686455
1.80026, -0.0399104, 0.0378985, 1.43824, -0.014633, -0.0147575, -0.728486, 0.684746
1.82033, -0.0407664, 0.0377605, 1.43778, -0.0160713, -0.01424, -0.729615, 0.683521
1.84085, -0.0402554, 0.0373063, 1.43679, -0.0153724, -0.0156718, -0.727928, 0.685302
1.86094, -0.0406958, 0.0368612, 1.4363, -0.0162602, -0.0150862, -0.728765, 0.684404
1.881, -0.0410276, 0.0364961, 1.43608, -0.0163139, -0.0153912, -0.729276, 0.683852
1.90055, -0.0415735, 0.0363694, 1.43535, -0.0165846, -0.0148043, -0.730163, 0.682911
1.9203, -0.0410656, 0.0356989, 1.43475, -0.0169116, -0.0148794, -0.727742, 0.685481
1.94037, -0.0414773, 0.0354281, 1.43428, -0.0155684, -0.0146785, -0.729116, 0.684056
1.96102, -0.042023, 0.0350679, 1.43416, -0.0168444, -0.014127, -0.729676, 0.683439
1.98106, -0.0424483, 0.0349417, 1.4333, -0.0162769, -0.0143764, -0.730532, 0.682533
2.00093, -0.0416039, 0.0341535, 1.43299, -0.0164241, -0.0155467, -0.728058, 0.685143
2.02025, -0.042241, 0.0338931, 1.43267, -0.0159111, -0.014419, -0.729639, 0.683495
2.04054, -0.042821, 0.033752, 1.43207, -0.0155816, -0.0139532, -0.730467, 0.682628
2.06108, -0.0425648, 0.0332666, 1.43159, -0.0160867, -0.0134852, -0.728833, 0.68437
2.08091, -0.0427141, 0.0326618, 1.43116, -0.0152658, -0.0146206, -0.729349, 0.683815
2.10102, -0.0427033, 0.0322387, 1.43088, -0.0145563, -0.0159909, -0.729573, 0.683561
2.12005, -0.0433224, 0.0320924, 1.4304, -0.015057, -0.0153348, -0.73031, 0.682778
2.14105, -0.0426007, 0.0313822, 1.42982, -0.0148116, -0.0159406, -0.727638, 0.685616
2.16064, -0.0429522, 0.0308926, 1.42978, -0.0151206, -0.0158543, -0.729162, 0.68399
2.18095, -0.0433656, 0.0305616, 1.42967, -0.0154857, -0.0162886, -0.729548, 0.683561
2.20107, -0.0432607, 0.0302583, 1.4292, -0.0157006, -0.015914, -0.72845, 0.684734
2.22033, -0.0429478, 0.0294177, 1.42925, -0.0160913, -0.0173911, -0.727481, 0.685718
2.24073, -0.043327, 0.0291326, 1.42925, -0.0150214, -0.0175934, -0.728972, 0.684153
2.26109, -0.0440486, 0.0289383, 1.42932, -0.0166366, -0.016438, -0.730049, 0.682994
2.28089, -0.0435459, 0.0283739, 1.42915, -0.0166896, -0.0171987, -0.728286, 0.684854
2.30082, -0.0438443, 0.0276852, 1.42958, -0.0178833, -0.0171343, -0.728913, 0.684158
2.32031, -0.0439969, 0.0274657, 1.42967, -0.0165774, -0.0166594, -0.729363, 0.683723
2.34033, -0.0446047, 0.0272421, 1.42977, -0.0173375, -0.0163869, -0.730388, 0.682616
2.36091, -0.0438992, 0.0264756, 1.42991, -0.0175548, -0.0167631, -0.727951, 0.6852
2.38103, -0.044188, 0.0262288, 1.43014, -0.0167688, -0.0163266, -0.729416, 0.68367
2.40099, -0.0445365, 0.0258597, 1.43055, -0.0174377, -0.0169634, -0.730088, 0.68292
2.42036, -0.0444307, 0.0255705, 1.43039, -0.0172361, -0.0165464, -0.729172, 0.683914
2.44102, -0.0440352, 0.0249046, 1.43057, -0.0168431, -0.0162335, -0.727994, 0.685185
2.46103, -0.0445474, 0.0247518, 1.43082, -0.0160198, -0.0154912, -0.729742, 0.68336
2.48086, -0.0449956, 0.0245915, 1.43085, -0.0152654, -0.0169244, -0.730668, 0.682353
2.50046, -0.0446276, 0.0240142, 1.43095, -0.0162184, -0.0176453, -0.729037, 0.684054
2.52038, -0.044725, 0.0236006, 1.43112, -0.0151856, -0.0176309, -0.729301, 0.683797
2.54081, -0.044937, 0.0233894, 1.43146, -0.0149534, -0.0169313, -0.729482, 0.683626
2.56037, -0.0450787, 0.0230515, 1.43174, -0.0166173, -0.0174934, -0.729061, 0.684023
2.58042, -0.0447242, 0.0226538, 1.43178, -0.0152202, -0.0187224, -0.728034, 0.685117
2.60098, -0.0452319, 0.0223343, 1.43252, -0.0156274, -0.0182609, -0.729536, 0.68352
2.62037, -0.0456666, 0.0221897, 1.43305, -0.0160022, -0.0182757, -0.730531, 0.682448
2.64102, -0.0455688, 0.0218207, 1.43347, -0.0172028, -0.0186384, -0.72917, 0.683862
2.66092, -0.0459505, 0.0214863, 1.43409, -0.0174081, -0.0182643, -0.729965, 0.683019
2.68089, -0.0458773, 0.0211591, 1.43493, -0.0169463, -0.0184103, -0.729943, 0.68305
2.70008, -0.0465307, 0.0211937, 1.43541, -0.0173367, -0.0169645, -0.730786, 0.682175
2.72035, -0.0461189, 0.0207819, 1.43603, -0.017509, -0.0177616, -0.729119, 0.683932
2.74105, -0.0463704, 0.0204787, 1.43683, -0.0175111, -0.0180298, -0.729911, 0.68308
2.76109, -0.046798, 0.020374, 1.43753, -0.0175766, -0.0175815, -0.730404, 0.682563
2.78101, -0.0473251, 0.0204444, 1.43785, -0.0170292, -0.0174365, -0.731044, 0.681895
2.80044, -0.0472348, 0.0201114, 1.43838, -0.017452, -0.0169551, -0.73018, 0.682822
2.82022, -0.0470535, 0.0199566, 1.43889, -0.0156392, -0.0177321, -0.730133, 0.682896
2.84012, -0.0475978, 0.0198892, 1.43953, -0.0162878, -0.0177747, -0.7305, 0.682487
2.86102, -0.0476174, 0.0198902, 1.44001, -0.0169795, -0.0172268, -0.729466, 0.683589
2.88087, -0.0476747, 0.0196245, 1.44038, -0.0152621, -0.0185354, -0.729813, 0.683225
