time, px, py, pz, qx, qy, qz, qw
0, 0.020266, 0.108917, 1.45365, -0.0163614, 0.00135968, -0.816241, 0.577478
0.0200908, 0.0206434, 0.108796, 1.45374, -0.0139371, -0.00503955, -0.817358, 0.575939
0.040153, 0.0201232, 0.109547, 1.45375, -0.014912, -0.00113251, -0.818545, 0.574248
0.0598645, 0.0206034, 0.109605, 1.45391, -0.0131316, -0.00130831, -0.818841, 0.573868
0.0795958, 0.0210344, 0.109181, 1.4543, -0.0134683, -0.00170692, -0.817487, 0.575788
0.100011, 0.020789, 0.109286, 1.45451, -0.015684, -0.000434528, -0.817206, 0.576133
0.11974, 0.0210075, 0.108979, 1.45487, -0.0160378, -0.00233382, -0.816996, 0.576416
0.140053, 0.0217253, 0.109341, 1.45406, -0.0108153, -0.00170479, -0.817548, 0.575757
0.160013, 0.0214954, 0.109499, 1.45424, -0.0117948, 0.000715932, -0.817521, 0.575777
0.179564, 0.021397, 0.108937, 1.45473, -0.0140988, -0.00345084, -0.81736, 0.575944
0.199897, 0.0215613, 0.109059, 1.45429, -0.0134233, 0.00025579, -0.816679, 0.576936
0.219536, 0.0221477, 0.109083, 1.45371, -0.00961045, -0.00164911, -0.817251, 0.5762
0.239318, 0.0216207, 0.108776, 1.45435, -0.0129662, -0.00199769, -0.817403, 0.575917
0.259899, 0.0211505, 0.108483, 1.45476, -0.0159308, -0.00328096, -0.817752, 0.575341
0.279511, 0.0217343, 0.108453, 1.45403, -0.0113952, -0.00422833, -0.817706, 0.575508
0.299985, 0.0218815, 0.108224, 1.45411, -0.0110645, -0.00340648, -0.817396, 0.57596
0.319481, 0.0213393, 0.107998, 1.45456, -0.0136773, -0.00357162, -0.817528, 0.575716
0.339961, 0.0211358, 0.108204, 1.45419, -0.0121622, -0.00438, -0.819053, 0.573573
0.359988, 0.0212977, 0.107566, 1.45447, -0.01329, -0.00189557, -0.817458, 0.575831
0.379531, 0.0210905, 0.107125, 1.45516, -0.0148075, -0.00422105, -0.818019, 0.574985
0.399761, 0.020661, 0.107124, 1.45505, -0.0146911, -0.00309104, -0.818169, 0.574782
0.419908, 0.0203181, 0.107113, 1.45521, -0.0146942, -0.00289935, -0.819173, 0.573351
0.440111, 0.021284, 0.105933, 1.45545, -0.0130562, -0.00468206, -0.816374, 0.577357
0.459912, 0.0204399, 0.106052, 1.45592, -0.0155799, -0.00117435, -0.817164, 0.576193
0.479631, 0.0200139, 0.105902, 1.45618, -0.0148585, -0.00533649, -0.819163, 0.573343
0.49955, 0.0205453, 0.105692, 1.45549, -0.0116063, -0.000270521, -0.817197, 0.576241
0.519488, 0.0204055, 0.105441, 1.45568, -0.0108938, -0.000786103, -0.817976, 0.575149
